,count
game,10355
like,4961
im,4942
get,4368
one,3718
play,3613
good,3565
time,3498
love,3322
really,3260
new,3210
u,2963
people,2917
johnson,2897
shit,2806
see,2790
cant,2728
_,2704
dont,2669
got,2561
