,count
game,10494
like,5041
im,5028
get,4437
one,3769
play,3661
good,3615
time,3545
love,3379
really,3298
new,3256
u,3008
johnson,2960
people,2953
shit,2839
see,2821
cant,2775
dont,2715
_,2706
got,2600
